,Bedrooms,RegionName,Date,Price
254644,5,Memphis,1/31/1996,195067
254645,5,Memphis,2/29/1996,195510
254646,5,Memphis,3/31/1996,196030
254647,5,Memphis,4/30/1996,196973
254648,5,Memphis,5/31/1996,198034
254649,5,Memphis,6/30/1996,199053
254650,5,Memphis,7/31/1996,200192
254651,5,Memphis,8/31/1996,201066
254652,5,Memphis,9/30/1996,201692
254653,5,Memphis,10/31/1996,202154
254654,5,Memphis,11/30/1996,202586
254655,5,Memphis,12/31/1996,203249
254656,5,Memphis,1/31/1997,203882
254657,5,Memphis,2/28/1997,204669
254658,5,Memphis,3/31/1997,205296
254659,5,Memphis,4/30/1997,205993
254660,5,Memphis,5/31/1997,206486
254661,5,Memphis,6/30/1997,206892
254662,5,Memphis,7/31/1997,207395
254663,5,Memphis,8/31/1997,208035
254664,5,Memphis,9/30/1997,209119
254665,5,Memphis,10/31/1997,210235
254666,5,Memphis,11/30/1997,211542
254667,5,Memphis,12/31/1997,212492
254668,5,Memphis,1/31/1998,213643
254669,5,Memphis,2/28/1998,214765
254670,5,Memphis,3/31/1998,216099
254671,5,Memphis,4/30/1998,217218
254672,5,Memphis,5/31/1998,218264
254673,5,Memphis,6/30/1998,219036
254674,5,Memphis,7/31/1998,219177
254675,5,Memphis,8/31/1998,219903
254676,5,Memphis,9/30/1998,220928
254677,5,Memphis,10/31/1998,222333
254678,5,Memphis,11/30/1998,223196
254679,5,Memphis,12/31/1998,224057
254680,5,Memphis,1/31/1999,224511
254681,5,Memphis,2/28/1999,224801
254682,5,Memphis,3/31/1999,224912
254683,5,Memphis,4/30/1999,225426
254684,5,Memphis,5/31/1999,226215
254685,5,Memphis,6/30/1999,228345
254686,5,Memphis,7/31/1999,230870
254687,5,Memphis,8/31/1999,232774
254688,5,Memphis,9/30/1999,233262
254689,5,Memphis,10/31/1999,233526
254690,5,Memphis,11/30/1999,234484
254691,5,Memphis,12/31/1999,235455
254692,5,Memphis,1/31/2000,236766
254693,5,Memphis,2/29/2000,237877
254694,5,Memphis,3/31/2000,239037
254695,5,Memphis,4/30/2000,240248
254696,5,Memphis,5/31/2000,241252
254697,5,Memphis,6/30/2000,241615
254698,5,Memphis,7/31/2000,241725
254699,5,Memphis,8/31/2000,241889
254700,5,Memphis,9/30/2000,242730
254701,5,Memphis,10/31/2000,243390
254702,5,Memphis,11/30/2000,243725
254703,5,Memphis,12/31/2000,244387
254704,5,Memphis,1/31/2001,244643
254705,5,Memphis,2/28/2001,245108
254706,5,Memphis,3/31/2001,245213
254707,5,Memphis,4/30/2001,245201
254708,5,Memphis,5/31/2001,245392
254709,5,Memphis,6/30/2001,245554
254710,5,Memphis,7/31/2001,245933
254711,5,Memphis,8/31/2001,246314
254712,5,Memphis,9/30/2001,246713
254713,5,Memphis,10/31/2001,247151
254714,5,Memphis,11/30/2001,247523
254715,5,Memphis,12/31/2001,247433
254716,5,Memphis,1/31/2002,247629
254717,5,Memphis,2/28/2002,247828
254718,5,Memphis,3/31/2002,248618
254719,5,Memphis,4/30/2002,249416
254720,5,Memphis,5/31/2002,249899
254721,5,Memphis,6/30/2002,250151
254722,5,Memphis,7/31/2002,250346
254723,5,Memphis,8/31/2002,250788
254724,5,Memphis,9/30/2002,251371
254725,5,Memphis,10/31/2002,252029
254726,5,Memphis,11/30/2002,252577
254727,5,Memphis,12/31/2002,252991
254728,5,Memphis,1/31/2003,253444
254729,5,Memphis,2/28/2003,254114
254730,5,Memphis,3/31/2003,254574
254731,5,Memphis,4/30/2003,254950
254732,5,Memphis,5/31/2003,255247
254733,5,Memphis,6/30/2003,255830
254734,5,Memphis,7/31/2003,256372
254735,5,Memphis,8/31/2003,256896
254736,5,Memphis,9/30/2003,257241
254737,5,Memphis,10/31/2003,257368
254738,5,Memphis,11/30/2003,257715
254739,5,Memphis,12/31/2003,258477
254740,5,Memphis,1/31/2004,259341
254741,5,Memphis,2/29/2004,259903
254742,5,Memphis,3/31/2004,260221
254743,5,Memphis,4/30/2004,260404
254744,5,Memphis,5/31/2004,261000
254745,5,Memphis,6/30/2004,261595
254746,5,Memphis,7/31/2004,261994
254747,5,Memphis,8/31/2004,262141
254748,5,Memphis,9/30/2004,262221
254749,5,Memphis,10/31/2004,262980
254750,5,Memphis,11/30/2004,263779
254751,5,Memphis,12/31/2004,264639
254752,5,Memphis,1/31/2005,265262
254753,5,Memphis,2/28/2005,265947
254754,5,Memphis,3/31/2005,266812
254755,5,Memphis,4/30/2005,267779
254756,5,Memphis,5/31/2005,268537
254757,5,Memphis,6/30/2005,269048
254758,5,Memphis,7/31/2005,269890
254759,5,Memphis,8/31/2005,270876
254760,5,Memphis,9/30/2005,272068
254761,5,Memphis,10/31/2005,272565
254762,5,Memphis,11/30/2005,273112
254763,5,Memphis,12/31/2005,273692
254764,5,Memphis,1/31/2006,274806
254765,5,Memphis,2/28/2006,275634
254766,5,Memphis,3/31/2006,276381
254767,5,Memphis,4/30/2006,276779
254768,5,Memphis,5/31/2006,277178
254769,5,Memphis,6/30/2006,277615
254770,5,Memphis,7/31/2006,277868
254771,5,Memphis,8/31/2006,278208
254772,5,Memphis,9/30/2006,278473
254773,5,Memphis,10/31/2006,279218
254774,5,Memphis,11/30/2006,280146
254775,5,Memphis,12/31/2006,280748
254776,5,Memphis,1/31/2007,281113
254777,5,Memphis,2/28/2007,281647
254778,5,Memphis,3/31/2007,282036
254779,5,Memphis,4/30/2007,282055
254780,5,Memphis,5/31/2007,281492
254781,5,Memphis,6/30/2007,281434
254782,5,Memphis,7/31/2007,281300
254783,5,Memphis,8/31/2007,280987
254784,5,Memphis,9/30/2007,279996
254785,5,Memphis,10/31/2007,278711
254786,5,Memphis,11/30/2007,276710
254787,5,Memphis,12/31/2007,274418
254788,5,Memphis,1/31/2008,270435
254789,5,Memphis,2/29/2008,266521
254790,5,Memphis,3/31/2008,262651
254791,5,Memphis,4/30/2008,260640
254792,5,Memphis,5/31/2008,258901
254793,5,Memphis,6/30/2008,256900
254794,5,Memphis,7/31/2008,254605
254795,5,Memphis,8/31/2008,252445
254796,5,Memphis,9/30/2008,250510
254797,5,Memphis,10/31/2008,248522
254798,5,Memphis,11/30/2008,246360
254799,5,Memphis,12/31/2008,244494
254800,5,Memphis,1/31/2009,243764
254801,5,Memphis,2/28/2009,243010
254802,5,Memphis,3/31/2009,241916
254803,5,Memphis,4/30/2009,239476
254804,5,Memphis,5/31/2009,237459
254805,5,Memphis,6/30/2009,235001
254806,5,Memphis,7/31/2009,233353
254807,5,Memphis,8/31/2009,231784
254808,5,Memphis,9/30/2009,231220
254809,5,Memphis,10/31/2009,230378
254810,5,Memphis,11/30/2009,229868
254811,5,Memphis,12/31/2009,229341
254812,5,Memphis,1/31/2010,229261
254813,5,Memphis,2/28/2010,229168
254814,5,Memphis,3/31/2010,229962
254815,5,Memphis,4/30/2010,230474
254816,5,Memphis,5/31/2010,230684
254817,5,Memphis,6/30/2010,230570
254818,5,Memphis,7/31/2010,230122
254819,5,Memphis,8/31/2010,229034
254820,5,Memphis,9/30/2010,227070
254821,5,Memphis,10/31/2010,225660
254822,5,Memphis,11/30/2010,224646
254823,5,Memphis,12/31/2010,224140
254824,5,Memphis,1/31/2011,222573
254825,5,Memphis,2/28/2011,220923
254826,5,Memphis,3/31/2011,218544
254827,5,Memphis,4/30/2011,217789
254828,5,Memphis,5/31/2011,217298
254829,5,Memphis,6/30/2011,217499
254830,5,Memphis,7/31/2011,217044
254831,5,Memphis,8/31/2011,216893
254832,5,Memphis,9/30/2011,217299
254833,5,Memphis,10/31/2011,217537
254834,5,Memphis,11/30/2011,217817
254835,5,Memphis,12/31/2011,217260
254836,5,Memphis,1/31/2012,217270
254837,5,Memphis,2/29/2012,217480
254838,5,Memphis,3/31/2012,218044
254839,5,Memphis,4/30/2012,217386
254840,5,Memphis,5/31/2012,216999
254841,5,Memphis,6/30/2012,216457
254842,5,Memphis,7/31/2012,217020
254843,5,Memphis,8/31/2012,217148
254844,5,Memphis,9/30/2012,216548
254845,5,Memphis,10/31/2012,215542
254846,5,Memphis,11/30/2012,213800
254847,5,Memphis,12/31/2012,212639
254848,5,Memphis,1/31/2013,212422
254849,5,Memphis,2/28/2013,213151
254850,5,Memphis,3/31/2013,214858
254851,5,Memphis,4/30/2013,216383
254852,5,Memphis,5/31/2013,217062
254853,5,Memphis,6/30/2013,217405
254854,5,Memphis,7/31/2013,217295
254855,5,Memphis,8/31/2013,218231
254856,5,Memphis,9/30/2013,219783
254857,5,Memphis,10/31/2013,222122
254858,5,Memphis,11/30/2013,224902
254859,5,Memphis,12/31/2013,227610
254860,5,Memphis,1/31/2014,228973
254861,5,Memphis,2/28/2014,229059
254862,5,Memphis,3/31/2014,227454
254863,5,Memphis,4/30/2014,227073
254864,5,Memphis,5/31/2014,226948
254865,5,Memphis,6/30/2014,227973
254866,5,Memphis,7/31/2014,228638
254867,5,Memphis,8/31/2014,229127
254868,5,Memphis,9/30/2014,229137
254869,5,Memphis,10/31/2014,228367
254870,5,Memphis,11/30/2014,227770
254871,5,Memphis,12/31/2014,227505
254872,5,Memphis,1/31/2015,228363
254873,5,Memphis,2/28/2015,229300
254874,5,Memphis,3/31/2015,230434
254875,5,Memphis,4/30/2015,230296
254876,5,Memphis,5/31/2015,231167
254877,5,Memphis,6/30/2015,231663
254878,5,Memphis,7/31/2015,232266
254879,5,Memphis,8/31/2015,232823
254880,5,Memphis,9/30/2015,233544
254881,5,Memphis,10/31/2015,235326
254882,5,Memphis,11/30/2015,236480
254883,5,Memphis,12/31/2015,237181
254884,5,Memphis,1/31/2016,237811
254885,5,Memphis,2/29/2016,239068
254886,5,Memphis,3/31/2016,240598
254887,5,Memphis,4/30/2016,241786
254888,5,Memphis,5/31/2016,242313
254889,5,Memphis,6/30/2016,242662
254890,5,Memphis,7/31/2016,243799
254891,5,Memphis,8/31/2016,244016
254892,5,Memphis,9/30/2016,245085
254893,5,Memphis,10/31/2016,245103
254894,5,Memphis,11/30/2016,246552
254895,5,Memphis,12/31/2016,248217
254896,5,Memphis,1/31/2017,249210
254897,5,Memphis,2/28/2017,249389
254898,5,Memphis,3/31/2017,250055
254899,5,Memphis,4/30/2017,252111
254900,5,Memphis,5/31/2017,254272
254901,5,Memphis,6/30/2017,256073
254902,5,Memphis,7/31/2017,257539
254903,5,Memphis,8/31/2017,260127
254904,5,Memphis,9/30/2017,261512
254905,5,Memphis,10/31/2017,263773
254906,5,Memphis,11/30/2017,264796
254907,5,Memphis,12/31/2017,265717
254908,5,Memphis,1/31/2018,266192
254909,5,Memphis,2/28/2018,267419
254910,5,Memphis,3/31/2018,268844
254911,5,Memphis,4/30/2018,270349
254912,5,Memphis,5/31/2018,271066
254913,5,Memphis,6/30/2018,272066
254914,5,Memphis,7/31/2018,272700
254915,5,Memphis,8/31/2018,273421
254916,5,Memphis,9/30/2018,274864
254917,5,Memphis,10/31/2018,275834
254918,5,Memphis,11/30/2018,277014
254919,5,Memphis,12/31/2018,278215
254920,5,Memphis,1/31/2019,280884
254921,5,Memphis,2/28/2019,283013
254922,5,Memphis,3/31/2019,284607
254923,5,Memphis,4/30/2019,284813
254924,5,Memphis,5/31/2019,286334
254925,5,Memphis,6/30/2019,287944
254926,5,Memphis,7/31/2019,289893
254927,5,Memphis,8/31/2019,291458
254928,5,Memphis,9/30/2019,292940
254929,5,Memphis,10/31/2019,294601
254930,5,Memphis,11/30/2019,296496
254931,5,Memphis,12/31/2019,298461
254932,5,Memphis,1/31/2020,299718
254933,5,Memphis,2/29/2020,301254
254934,5,Memphis,3/31/2020,303083
254935,5,Nashville,1/31/1996,234454
254936,5,Nashville,2/29/1996,235164
254937,5,Nashville,3/31/1996,235809
254938,5,Nashville,4/30/1996,236808
254939,5,Nashville,5/31/1996,237959
254940,5,Nashville,6/30/1996,239583
254941,5,Nashville,7/31/1996,241836
254942,5,Nashville,8/31/1996,243756
254943,5,Nashville,9/30/1996,245412
254944,5,Nashville,10/31/1996,246637
254945,5,Nashville,11/30/1996,248477
254946,5,Nashville,12/31/1996,250165
254947,5,Nashville,1/31/1997,252433
254948,5,Nashville,2/28/1997,254397
254949,5,Nashville,3/31/1997,256314
254950,5,Nashville,4/30/1997,258372
254951,5,Nashville,5/31/1997,259798
254952,5,Nashville,6/30/1997,260636
254953,5,Nashville,7/31/1997,260959
254954,5,Nashville,8/31/1997,261685
254955,5,Nashville,9/30/1997,262591
254956,5,Nashville,10/31/1997,263541
254957,5,Nashville,11/30/1997,263918
254958,5,Nashville,12/31/1997,264631
254959,5,Nashville,1/31/1998,265027
